City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobart,AU,17.0,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
9,Busselton,AU,19.44,light rain,-33.65,115.3333,Observatory Guest House
12,Hermanus,ZA,23.33,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
15,Port Alfred,ZA,20.24,few clouds,-33.5906,26.891,The Halyards Hotel
23,Castro,BR,21.16,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
25,Bengkulu,ID,24.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Faya,SA,25.0,few clouds,18.3851,42.4509,مقبرة ال مجمل
30,Kapaa,US,23.0,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
35,Iringa,TZ,25.0,light rain,-7.7667,35.7,M.R. Hotels ltd.
36,Alofi,NU,21.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
46,Vaini,TO,24.0,light rain,-21.2,-175.2,Keleti Beach Resort
49,Rikitea,PF,24.92,broken clouds,-23.1203,-134.9692,Pension Maro'i
50,Kot Kapura,IN,23.34,clear sky,30.5833,74.9,Pardeep’s house
53,Kwinana,AU,21.67,broken clouds,-32.25,115.7667,Rockingham Apartments
58,Cidreira,BR,24.02,clear sky,-30.1811,-50.2056,Hotel Castelo
64,Hilo,US,20.0,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
71,Sao Filipe,CV,24.62,few clouds,14.8961,-24.4956,Tortuga B&B
77,Bowen,AU,23.0,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
79,Santa Maria,BR,24.0,scattered clouds,-29.6842,-53.8069,Hotel Morotin
80,Port Elizabeth,ZA,20.0,clear sky,-33.918,25.5701,39 On Nile Guest House
83,Kasempa,ZM,24.18,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
88,Lae,PG,24.67,overcast clouds,-6.7221,146.9847,Phils Hotel
90,Nishihara,JP,23.0,broken clouds,26.1842,127.7558,Minshuku Agaihama
97,Samarinda,ID,23.98,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
100,Caucasia,CO,24.68,overcast clouds,7.9865,-75.1935,Hotel San Rafael
110,East London,ZA,20.0,clear sky,-33.0153,27.9116,Tu Casa
111,Necochea,AR,25.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
114,Sibolga,ID,24.98,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
115,San Lawrenz,MT,21.0,clear sky,36.0553,14.204,San Andrea Hotel
122,Ponta Do Sol,PT,17.78,broken clouds,32.6667,-17.1,Hotel do Campo
123,Mar Del Plata,AR,21.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
129,Lasa,IT,18.0,few clouds,46.6166,10.7002,Pension Feldgärtenhof
131,Ballina,AU,22.0,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
138,Esperance,AU,18.0,overcast clouds,-33.8667,121.9,Hospitality Esperance
146,Asfi,MA,18.08,clear sky,32.2994,-9.2372,Hôtel Abda
160,Port Lincoln,AU,20.16,clear sky,-34.7333,135.8667,Port Lincoln Hotel
161,Cairns,AU,24.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
162,Naze,JP,18.98,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
169,Nhulunbuy,AU,25.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
170,Kimbe,PG,24.36,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
179,Ixtapa,MX,24.0,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
