City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,8.0,76,40,14.92,scattered clouds
1,Hobart,AU,-42.8794,147.3294,17.0,51,40,5.14,scattered clouds
2,Tual,ID,-5.6667,132.75,28.17,72,99,2.31,overcast clouds
3,Yaremche,UA,48.4583,24.5519,11.0,32,75,2.0,broken clouds
4,Kieta,PG,-6.2167,155.6333,26.33,86,95,1.63,light rain
5,Lagoa,PT,39.05,-27.9833,15.49,88,95,14.06,overcast clouds
6,Barinas,VE,8.6226,-70.2075,34.0,43,99,4.63,overcast clouds
7,Macusani,PE,-14.0833,-70.4333,6.76,66,96,2.6,overcast clouds
8,Bischwiller,FR,48.7659,7.8583,12.22,43,0,4.63,clear sky
9,Busselton,AU,-33.65,115.3333,19.44,75,100,1.34,light rain
10,Dikson,RU,73.5069,80.5464,-27.94,84,14,2.55,few clouds
11,Ushuaia,AR,-54.8,-68.3,4.0,93,90,12.86,light intensity drizzle
12,Hermanus,ZA,-34.4187,19.2345,23.33,52,5,1.79,clear sky
13,New Norfolk,AU,-42.7826,147.0587,16.67,58,67,3.58,broken clouds
14,Erenhot,CN,43.6475,111.9767,4.15,25,18,2.98,few clouds
15,Port Alfred,ZA,-33.5906,26.891,20.24,64,21,8.46,few clouds
16,Jamestown,US,42.097,-79.2353,5.56,41,1,5.14,clear sky
17,Rajampet,IN,14.1833,79.1667,30.58,53,60,2.21,broken clouds
18,Kodiak,US,57.79,-152.4072,6.0,61,75,4.63,broken clouds
19,Fairbanks,US,64.8378,-147.7164,-8.89,92,90,2.06,light snow
20,Marfino,RU,55.7028,37.3822,5.0,56,0,4.0,light rain
21,Upernavik,GL,72.7868,-56.1549,-24.28,88,26,1.87,scattered clouds
22,Cherskiy,RU,68.75,161.3,-28.62,91,53,1.53,broken clouds
23,Castro,BR,-24.7911,-50.0119,21.16,61,63,2.06,broken clouds
24,Tabas,IR,33.5959,56.9244,28.97,21,90,8.53,overcast clouds
25,Bengkulu,ID,-3.8004,102.2655,24.81,87,99,6.46,overcast clouds
26,Faya,SA,18.3851,42.4509,25.0,46,20,8.23,few clouds
27,Victoria,HK,22.2855,114.1577,26.11,77,9,1.98,clear sky
28,Albany,US,42.6001,-73.9662,5.0,21,0,0.89,clear sky
29,Urumqi,CN,43.801,87.6005,8.0,53,0,1.0,clear sky
30,Kapaa,US,22.0752,-159.319,23.0,68,40,7.72,scattered clouds
