City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-03-29 01:25:09,77.484,-69.3632,-20.7,74,74,5.44
1,Kysyl-Syr,RU,2021-03-29 01:34:58,63.8986,122.7617,25.61,91,87,4.03
2,Cururupu,BR,2021-03-29 01:32:00,-1.8283,-44.8683,73.63,97,84,2.98
3,Ushuaia,AR,2021-03-29 01:34:26,-54.8,-68.3,42.8,75,0,9.22
4,Altamira,BR,2021-03-29 01:34:58,-3.2033,-52.2064,72.01,97,98,2.33
5,Jijiang,CN,2021-03-29 01:34:58,29.2906,106.2542,69.8,60,0,2.24
6,Necochea,AR,2021-03-29 01:34:59,-38.5473,-58.7368,55.99,96,7,7.87
7,Rabo De Peixe,PT,2021-03-29 01:34:44,37.8,-25.5833,59.0,82,75,10.36
8,Kapaa,US,2021-03-29 01:34:24,22.0752,-159.319,75.2,73,20,17.27
9,Rikitea,PF,2021-03-29 01:34:22,-23.1203,-134.9692,79.75,71,1,15.05
10,Tasiilaq,GL,2021-03-29 01:30:29,65.6145,-37.6368,15.8,53,93,5.75
11,Mountain Home,US,2021-03-29 01:33:57,43.133,-115.6912,75.2,9,1,19.57
12,Hithadhoo,MV,2021-03-29 01:31:24,-0.6,73.0833,81.73,73,100,29.89
13,Thompson,CA,2021-03-29 01:30:12,55.7435,-97.8558,23.0,93,90,6.91
14,Vardo,NO,2021-03-29 01:35:00,70.3705,31.1107,33.22,88,66,15.93
15,Warrington,GB,2021-03-29 01:30:00,53.3925,-2.5802,57.2,77,100,26.46
16,Chicama,PE,2021-03-29 01:32:02,-7.8447,-79.1469,72.54,73,46,5.48
17,Viedma,AR,2021-03-29 01:33:43,-40.8135,-62.9967,60.91,42,92,6.4
18,Zorritos,PE,2021-03-29 01:35:00,-3.6805,-80.6782,74.89,77,98,3.98
19,Mataura,NZ,2021-03-29 01:34:22,-46.1927,168.8643,60.01,91,22,10.0
20,Aksarka,RU,2021-03-29 01:29:34,66.5606,67.7975,-21.12,100,84,2.17
21,Oyama,JP,2021-03-29 01:35:01,36.3,139.8,68.0,68,75,5.75
22,Salalah,OM,2021-03-29 01:35:01,17.0151,54.0924,73.4,49,0,3.44
23,Warrnambool,AU,2021-03-29 01:35:01,-38.3833,142.4833,66.0,66,13,8.28
24,Butaritari,KI,2021-03-29 01:34:42,3.0707,172.7902,81.32,79,49,15.01
25,Mahon,ES,2021-03-29 01:31:23,39.8885,4.2658,51.8,93,0,6.91
26,Iskilip,TR,2021-03-29 01:35:04,40.7353,34.4739,39.27,68,38,1.25
27,Esperance,AU,2021-03-29 01:34:43,-33.8667,121.9,86.0,28,0,14.97
28,East London,ZA,2021-03-29 01:34:41,-33.0153,27.9116,64.38,78,100,13.24
29,Hermanus,ZA,2021-03-29 01:30:15,-34.4187,19.2345,63.0,82,100,1.99
